ID;INSTRUMENT_ID;TICKER;TAG_VALUE
1;NULL;SBER;BANKING
2;NULL;GAZP;OIL
3;NULL;GMKN;MINING
4;NULL;LKOH;OIL
5;NULL;YNDX;TECHNOLOGY
6;NULL;ROSN;OIL
7;NULL;MGNT;RETAIL
8;NULL;TATN;OIL
9;NULL;NVTK;OIL
10;NULL;FIVE;RETAIL
11;NULL;ALRS;MINING
12;NULL;POLY;MINING
13;NULL;NLMK;INDUSTRIAL
14;NULL;PLZL;MINING
15;NULL;TCSG;BANKING
16;NULL;MAGN;INDUSTRIAL
17;NULL;OZON;RETAIL
18;NULL;CHMF;INDUSTRIAL
19;NULL;RUAL;INDUSTRIAL
20;NULL;MTSS;TECHNOLOGY
21;NULL;SNGS;OIL
22;NULL;AFKS;FINANCIAL
23;NULL;MAIL;TECHNOLOGY
24;NULL;IRAO;ENERGY
25;NULL;VTBR;BANKING
26;NULL;DSKY;RETAIL
27;NULL;PHOR;INDUSTRIAL
28;NULL;AFLT;TRANSPORT
29;NULL;LNTA;RETAIL
30;NULL;HYDR;ENERGY
31;NULL;TATN;OIL
32;NULL;CBOM;BANKING
33;NULL;UPRO;ENERGY
34;NULL;RSTI;ENERGY
35;NULL;RTKM;TECHNOLOGY
36;NULL;AGRO;CONSUMER
37;NULL;TRNFP;OIL
38;NULL;FEES;ENERGY
39;NULL;MVID;RETAIL
40;NULL;POGR;MINING
41;NULL;PIKK;CONSUMER
42;NULL;TRMK;INDUSTRIAL
43;NULL;GLTR;TRANSPORT
44;NULL;LSRG;CONSUMER
45;NULL;RUGR;CONSUMER
46;NULL;LVHK;TECHNOLOGY
47;NULL;QIWI;FINANCIAL
48;NULL;MTLR;INDUSTRIAL
49;NULL;ENRU;ENERGY
50;NULL;VSMO;INDUSTRIAL
51;NULL;RASP;MINING
52;NULL;RNFT;OIL
53;NULL;NMTP;TRANSPORT
54;NULL;MSNG;ENERGY
55;NULL;ABRD;CONSUMER
56;NULL;AQUA;CONSUMER
57;NULL;BANE;OIL
58;NULL;MRKP;ENERGY
59;NULL;LIFE;CONSUMER
60;NULL;KAZT;INDUSTRIAL
61;NULL;CHEP;INDUSTRIAL
62;NULL;TTLK;TECHNOLOGY
63;NULL;NFAZ;INDUSTRIAL
64;NULL;NKNC;INDUSTRIAL
65;NULL;RBCM;MEDIA
66;NULL;AKRN;INDUSTRIAL
67;NULL;GAZA;INDUSTRIAL
68;NULL;KMAZ;INDUSTRIAL
69;NULL;ROLO;INDUSTRIAL
70;NULL;ALNU;MINING
71;NULL;RUSP;INDUSTRIAL
72;NULL;MRKC;ENERGY
73;NULL;AMEZ;INDUSTRIAL
74;NULL;MRKY;ENERGY
75;NULL;MRKV;ENERGY
76;NULL;SELG;MINING
77;NULL;RKKE;INDUSTRIAL
78;NULL;YKEN;ENERGY
79;NULL;KLSB;ENERGY
80;NULL;MISB;ENERGY
81;NULL;KROT;CONSUMER
82;NULL;NKHP;CONSUMER
83;NULL;STSB;ENERGY
84;NULL;LNZL;MINING
85;NULL;RZSB;ENERGY
86;NULL;PRFN;INDUSTRIAL
87;NULL;KOGK;INDUSTRIAL
88;NULL;CNTL;TECHNOLOGY
89;NULL;TUCH;CONSUMER
90;NULL;USBN;BANKING
91;NULL;BRZL;MINING
92;NULL;VZRZ;BANKING
93;NULL;ZILL;INDUSTRIAL
94;NULL;BLNG;FINANCIAL
95;NULL;MRKS;ENERGY
96;NULL;PMSB;ENERGY
97;NULL;PAZA;INDUSTRIAL
98;NULL;KRKN;OIL
99;NULL;TGKB;ENERGY
100;NULL;ROST;CONSUMER
101;NULL;UTAR;TRANSPORT
102;NULL;PRMB;BANKING
103;NULL;AVAN;BANKING
104;NULL;ROSB;BANKING
105;NULL;ARSA;FINANCIAL
106;NULL;CHKZ;INDUSTRIAL
